"length","count"
"1","0.33"
"2","0.06"
"3","0.08"
"4","12.24"
"5","6.13"
"6","2.33"
"7","2.16"
"8","1.51"
"9","1.09"
"10","0.78"
"11","0.51"
"12","0.4"
"13","0.32"
"14","0.15"
"15","0.15"
"16","0.1"
"17","0.06"
"18","0.08"
"19","0.08"
"20","0.04"
"21","0.0"
"22","0.02"
"23","0.0"
"24","0.02"
"25","0.01"
"26","0.0"
"27","0.0"
"28","0.0"
"29","0.01"
