"length","count"
"1","0.27"
"2","0.14"
"3","0.06"
"4","12.66"
"5","6.15"
"6","2.53"
"7","2.06"
"8","1.38"
"9","1.22"
"10","0.59"
"11","0.51"
"12","0.35"
"13","0.29"
"14","0.2"
"15","0.2"
"16","0.07"
"17","0.07"
"18","0.05"
"19","0.01"
"20","0.03"
"21","0.05"
"22","0.01"
"23","0.02"
"24","0.0"
"25","0.03"
"26","0.0"
"27","0.0"
"28","0.0"
"29","0.01"
"30","0.01"
