"length","count"
"1","0.23"
"2","0.07"
"3","0.02"
"4","7.11"
"5","4.31"
"6","2.51"
"7","1.7"
"8","1.15"
"9","0.8"
"10","0.62"
"11","0.36"
"12","0.3"
"13","0.3"
"14","0.18"
"15","0.14"
"16","0.08"
"17","0.06"
"18","0.05"
"19","0.03"
"20","0.02"
"21","0.01"
"22","0.01"
"23","0.0"
"24","0.01"
"25","0.01"
"26","0.01"
"27","0.02"
"28","0.01"
"29","0.02"
