"length","count"
"1","0.272"
"2","0.098"
"3","0.0585"
"4","11.53"
"5","5.725"
"6","2.286"
"7","1.8745"
"8","1.3395"
"9","0.941"
"10","0.626"
"11","0.4725"
"12","0.3325"
"13","0.215"
"14","0.1675"
"15","0.1245"
"16","0.0845"
"17","0.0585"
"18","0.0405"
"19","0.03"
"20","0.024"
"21","0.018"
"22","0.0145"
"23","0.0115"
"24","0.005"
"25","0.0045"
"26","0.005"
"27","0.004"
"28","0.0025"
"29","0.002"
"30","0.001"
"31","0.0"
"32","0.0"
"33","0.0"
"34","0.001"
