density,frequency
0.210000,0.000500
0.220000,0.001500
0.230000,0.002500
0.240000,0.009500
0.250000,0.030000
0.260000,0.099000
0.270000,0.199500
0.280000,0.240000
0.290000,0.199000
0.300000,0.148000
0.310000,0.053500
0.320000,0.016000
0.330000,0.001000
