density,frequency
0.230000,0.100000
0.240000,0.450000
0.250000,1.800000
0.260000,4.250000
0.270000,11.150000
0.280000,19.850000
0.290000,21.400000
0.300000,19.300000
0.310000,12.900000
0.320000,6.250000
0.330000,2.100000
0.340000,0.250000
0.350000,0.200000
