density,frequency
0.260000,0.050000
0.270000,0.100000
0.280000,0.200000
0.290000,0.800000
0.300000,2.800000
0.310000,5.850000
0.320000,10.550000
0.330000,17.250000
0.340000,21.450000
0.350000,17.000000
0.360000,13.500000
0.370000,7.500000
0.380000,2.400000
0.390000,0.450000
0.400000,0.050000
0.410000,0.050000
