coordinate,x,y,overall-no-arctic,arctic
0.115,0.065986,0.122357,0.122183,0.000000
0.116,0.065986,0.122357,0.122183,0.000000
0.117,0.065986,0.122357,0.122183,0.000000
0.118,0.065986,0.122357,0.122183,0.000000
0.119,0.065986,0.122357,0.122183,0.000000
0.120,0.065986,0.122357,0.122183,0.000000
0.121,0.065986,0.122357,0.122183,0.000000
0.122,0.065986,0.122357,0.122183,0.000000
0.123,0.065986,0.122357,0.122183,0.000000
0.124,0.065986,0.122357,0.122183,0.000000
0.125,0.096664,0.122357,0.122183,0.000000
0.126,0.096664,0.122357,0.122183,0.000000
0.127,0.096664,0.122357,0.122183,0.000000
0.128,0.096664,0.122357,0.122183,0.000000
0.129,0.096664,0.126554,0.122183,0.000000
0.130,0.096664,0.126554,0.122183,0.000000
0.131,0.096664,0.126554,0.122183,0.000000
0.132,0.096664,0.126554,0.122183,0.000000
0.133,0.096664,0.126554,0.122183,0.000000
0.134,0.096664,0.126554,0.122183,0.000000
0.135,0.096664,0.126554,0.122183,0.000000
0.136,0.096664,0.126554,0.122183,0.000000
0.137,0.096664,0.126554,0.122183,0.000000
0.138,0.096664,0.126554,0.122183,0.000000
0.139,0.096664,0.126554,0.122183,0.000000
0.140,0.096664,0.126554,0.122183,0.000000
0.141,0.096664,0.126554,0.122183,0.000000
0.142,0.096664,0.126554,0.122183,0.000000
0.143,0.118636,0.129973,0.122183,0.000000
0.144,0.118636,0.129973,0.122183,0.000000
0.145,0.118636,0.129973,0.122183,0.000000
0.146,0.118636,0.129973,0.122183,0.000000
0.147,0.118636,0.129973,0.122183,0.000000
0.148,0.118636,0.129973,0.122183,0.000000
0.149,0.118636,0.129973,0.122183,0.000000
0.150,0.118636,0.129973,0.122183,0.000000
0.151,0.118636,0.129973,0.122183,0.000000
0.152,0.118636,0.129973,0.122183,0.000000
0.153,0.118636,0.129973,0.122183,0.000000
0.154,0.118636,0.129973,0.122183,0.000000
0.155,0.118636,0.129973,0.122183,0.000000
0.156,0.118636,0.129973,0.122183,0.000000
0.157,0.118636,0.129973,0.122183,0.000000
0.158,0.118636,0.133571,0.122183,0.000000
0.159,0.118636,0.133571,0.122183,0.000000
0.160,0.118636,0.133571,0.122183,0.000000
0.161,0.131907,0.133571,0.122183,0.000000
0.162,0.131907,0.133571,0.122183,0.000000
0.163,0.131907,0.133571,0.122183,0.000000
0.164,0.131907,0.133571,0.122183,0.000000
0.165,0.131907,0.133571,0.122183,0.000000
0.166,0.131907,0.133571,0.122183,0.000000
0.167,0.131907,0.133571,0.122183,0.000000
0.168,0.131907,0.133571,0.122183,0.000000
0.169,0.131907,0.133571,0.122183,0.000000
0.170,0.131907,0.133571,0.122183,0.000000
0.171,0.131907,0.133571,0.122183,0.000000
0.172,0.131907,0.136536,0.122183,0.000000
0.173,0.131907,0.136536,0.122183,0.000000
0.174,0.131907,0.136536,0.122183,0.000000
0.175,0.131907,0.136536,0.122183,0.000000
0.176,0.131907,0.136536,0.122183,0.000000
0.177,0.131907,0.136536,0.122183,0.000000
0.178,0.131907,0.136536,0.122183,0.000000
0.179,0.141964,0.136536,0.122183,0.000000
0.180,0.141964,0.136536,0.122183,0.000000
0.181,0.141964,0.136536,0.122183,0.000000
0.182,0.141964,0.136536,0.122183,0.000000
0.183,0.141964,0.136536,0.122183,0.000000
0.184,0.141964,0.136536,0.122183,0.000000
0.185,0.141964,0.136536,0.122183,0.000000
0.186,0.141964,0.136839,0.122183,0.000000
0.187,0.141964,0.136839,0.122183,0.000000
0.188,0.141964,0.136839,0.122183,0.000000
0.189,0.141964,0.136839,0.122183,0.000000
0.190,0.141964,0.136839,0.122183,0.000000
0.191,0.141964,0.136839,0.122183,0.000000
0.192,0.141964,0.136839,0.122183,0.000000
0.193,0.141964,0.136839,0.122183,0.000000
