coordinate,x,y,overall
0,0,0.4930625,0.2420327806122449
0.001,0,0.4930625,0.2420327806122449
0.002,0,0.4930625,0.2420327806122449
0.003,0,0.4930625,0.2420327806122449
0.004,0,0.4930625,0.2420327806122449
0.005,0,0.4930625,0.2420327806122449
0.006,0,0.4930625,0.2420327806122449
0.007,0,0.4930625,0.2420327806122449
0.008,0,0.4930625,0.2420327806122449
0.009,0,0.4930625,0.2420327806122449
0.01,0,0.4930625,0.2420327806122449
0.011,0,0.4930625,0.2420327806122449
0.012,0,0.4930625,0.2420327806122449
0.013,0,0.4930625,0.2420327806122449
0.014,0,0.4930625,0.2420327806122449
0.015,0,0.05227678571428571,0.2420327806122449
0.016,0,0.05227678571428571,0.2420327806122449
0.017,0,0.05227678571428571,0.2420327806122449
0.018,0,0.05227678571428571,0.2420327806122449
0.019,0,0.05227678571428571,0.2420327806122449
0.02,0,0.05227678571428571,0.2420327806122449
0.021,0,0.05227678571428571,0.2420327806122449
0.022,0,0.05227678571428571,0.2420327806122449
0.023,0,0.05227678571428571,0.2420327806122449
0.024,0,0.05227678571428571,0.2420327806122449
0.025,0,0.05227678571428571,0.2420327806122449
0.026,0,0.05227678571428571,0.2420327806122449
0.027,0,0.05227678571428571,0.2420327806122449
0.028,0,0.05227678571428571,0.2420327806122449
0.029,0,0.09911607142857143,0.2420327806122449
0.03,0,0.09911607142857143,0.2420327806122449
0.031,0,0.09911607142857143,0.2420327806122449
0.032,0,0.09911607142857143,0.2420327806122449
0.033,0,0.09911607142857143,0.2420327806122449
0.034,0,0.09911607142857143,0.2420327806122449
0.035,0,0.09911607142857143,0.2420327806122449
0.036,0.014557142857142857,0.09911607142857143,0.2420327806122449
0.037,0.014557142857142857,0.09911607142857143,0.2420327806122449
0.038,0.014557142857142857,0.09911607142857143,0.2420327806122449
0.039,0.014557142857142857,0.09911607142857143,0.2420327806122449
0.04,0.014557142857142857,0.09911607142857143,0.2420327806122449
0.041,0.014557142857142857,0.09911607142857143,0.2420327806122449
0.042,0.014557142857142857,0.09911607142857143,0.2420327806122449
0.043,0.014557142857142857,0.14355357142857142,0.2420327806122449
0.044,0.014557142857142857,0.14355357142857142,0.2420327806122449
0.045,0.014557142857142857,0.14355357142857142,0.2420327806122449
0.046,0.014557142857142857,0.14355357142857142,0.2420327806122449
0.047,0.014557142857142857,0.14355357142857142,0.2420327806122449
0.048,0.014557142857142857,0.14355357142857142,0.2420327806122449
